E/V        I/A.1,E/V        I/A.2
-0.036,7.97106E-07
-0.038,7.92652E-07
-0.04,7.8912E-07
-0.042,7.85895E-07
-0.044,7.81441E-07
-0.046,7.77908E-07
-0.048,7.74683E-07
-0.05,7.70383E-07
-0.052,7.66543E-07
-0.054,7.63318E-07
-0.056,7.58711E-07
-0.058,7.55025E-07
-0.06,7.518E-07
-0.062,7.47346E-07
-0.064,7.4366E-07
-0.066,7.40435E-07
-0.068,7.35827E-07
-0.07,7.32141E-07
-0.072,7.2907E-07
-0.074,7.24309E-07
-0.076,7.20623E-07
-0.078,7.17551E-07
-0.08,7.12637E-07
-0.082,7.08951E-07
-0.084,7.06033E-07
-0.086,7.01425E-07
-0.088,6.97586E-07
-0.09,6.94668E-07
-0.092,6.9006E-07
-0.094,6.86221E-07
-0.096,6.83149E-07
-0.098,6.78695E-07
-0.1,6.74856E-07
-0.102,6.72091E-07
-0.104,6.67484E-07
-0.106,6.63491E-07
-0.108,6.60266E-07
-0.11,6.55812E-07
-0.112,6.52126E-07
-0.114,6.48747E-07
-0.116,6.44293E-07
-0.118,6.40607E-07
-0.12,6.36922E-07
-0.122,6.32775E-07
-0.124,6.29089E-07
-0.126,6.25249E-07
-0.128,6.2141E-07
-0.13,6.17878E-07
-0.132,6.13884E-07
-0.134,6.10199E-07
-0.136,6.06359E-07
-0.138,6.02212E-07
-0.14,5.98526E-07
-0.142,5.94687E-07
-0.144,5.90694E-07
-0.146,5.87161E-07
-0.148,5.83322E-07
