E/V        I/A.1,E/V        I/A.2
0.198,1.34907E-06
0.196,1.3437E-06
0.194,1.34078E-06
0.192,1.33756E-06
0.19,1.33064E-06
0.188,1.32849E-06
0.186,1.3245E-06
0.184,1.31636E-06
0.182,1.32035E-06
0.18,1.31129E-06
0.178,1.30361E-06
0.176,1.30469E-06
0.174,1.29993E-06
0.172,1.2924E-06
0.17,1.2924E-06
0.168,1.28795E-06
0.166,1.28058E-06
0.164,1.28058E-06
0.162,1.27658E-06
0.16,1.26967E-06
0.158,1.2689E-06
0.156,1.26568E-06
0.154,1.25923E-06
0.152,1.25708E-06
0.15,1.25585E-06
0.148,1.24833E-06
0.146,1.2474E-06
0.144,1.24495E-06
0.142,1.2388E-06
0.14,1.23696E-06
0.138,1.23435E-06
0.136,1.22867E-06
0.134,1.2256E-06
0.132,1.22298E-06
0.13,1.21868E-06
0.128,1.21484E-06
0.126,1.21223E-06
0.124,1.20763E-06
0.122,1.20425E-06
0.12,1.20056E-06
0.118,1.19657E-06
0.116,1.19457E-06
0.114,1.19135E-06
0.112,1.18705E-06
0.11,1.1849E-06
0.108,1.18136E-06
0.106,1.17676E-06
0.104,1.1743E-06
0.102,1.17077E-06
0.1,1.16601E-06
0.098,1.16309E-06
0.096,1.15909E-06
0.094,1.15449E-06
0.092,1.1508E-06
0.09,1.14665E-06
0.088,1.14205E-06
0.086,1.1379E-06
0.084,1.13345E-06
0.082,1.12884E-06
0.08,0.000001125
0.078,1.12009E-06
0.076,1.11609E-06
0.074,1.1121E-06
0.072,1.10657E-06
0.07,1.10319E-06
0.068,1.0992E-06
0.066,1.09413E-06
0.064,1.09029E-06
0.062,1.08614E-06
0.06,1.08138E-06
0.058,1.07724E-06
0.056,1.07324E-06
0.054,1.06833E-06
0.052,1.06418E-06
0.05,1.05988E-06
0.048,1.05527E-06
0.046,1.05082E-06
0.044,1.04637E-06
0.042,1.04222E-06
0.04,1.03777E-06
0.038,1.03393E-06
0.036,1.02978E-06
0.034,1.02563E-06
