cvsin_type_2
Start(mV):	7.670000e+02
End(mV):	7.670000e+02
Max(mV):	7.750000e+02
Min(mV):	7.050000e+02
Freq1(Hz):	8.106232e+01
Amp1(mV):	2.000000e+02
Phase1(deg):	2.750000e+02
Freq2(Hz):	1.192093e+00
Amp2(mV):	0.000000e+00
Phase2(deg):	0.000000e+00
Freq3(Hz):	1.192093e+00
Amp3(mV):	0.000000e+00
Phase3(deg):	0.000000e+00
Freq4(Hz):	1.192093e+00
Amp4(mV):	0.000000e+00
Phase4(deg):	0.000000e+00
Freq5(Hz):	1.192093e+00
Amp5(mV):	0.000000e+00
Phase5(deg):	0.000000e+00
Freq6(Hz):	1.192093e+00
Amp6(mV):	0.000000e+00
Phase6(deg):	0.000000e+00
Freq7(Hz):	1.192093e+00
Amp7(mV):	0.000000e+00
Phase7(deg):	0.000000e+00
Freq8(Hz):	1.192093e+00
Amp8(mV):	0.000000e+00
Phase8(deg):	0.000000e+00
Type(0-4):	4
Rate(mV/s):	1.668930e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	5.670000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
8.244494e-01	3.595661e-04	3.379200e-03
8.275726e-01	3.595597e-04	3.404800e-03
8.292069e-01	3.595635e-04	3.430400e-03
8.323510e-01	3.595558e-04	3.456000e-03
8.341877e-01	3.595610e-04	3.481600e-03
8.372016e-01	3.595522e-04	3.507200e-03
8.390875e-01	3.595584e-04	3.532800e-03
8.420193e-01	3.595489e-04	3.558400e-03
8.437056e-01	3.595559e-04	3.584000e-03
8.468981e-01	3.595458e-04	3.609600e-03
8.484796e-01	3.595534e-04	3.635200e-03
8.515124e-01	3.595429e-04	3.660800e-03
8.531938e-01	3.595509e-04	3.686400e-03
8.561332e-01	3.595401e-04	3.712000e-03
8.578492e-01	3.595485e-04	3.737600e-03
8.608599e-01	3.595375e-04	3.763200e-03
8.624222e-01	3.595461e-04	3.788800e-03
8.652834e-01	3.595350e-04	3.814400e-03
8.669530e-01	3.595437e-04	3.840000e-03
8.696419e-01	3.595325e-04	3.865600e-03
8.713768e-01	3.595414e-04	3.891200e-03
8.741270e-01	3.595302e-04	3.916800e-03
8.758351e-01	3.595391e-04	3.942400e-03
8.785439e-01	3.595279e-04	3.968000e-03
8.801283e-01	3.595368e-04	3.993600e-03
8.827159e-01	3.595258e-04	4.019200e-03
8.842416e-01	3.595346e-04	4.044800e-03
8.869724e-01	3.595236e-04	4.070400e-03
8.884731e-01	3.595324e-04	4.096000e-03
8.910229e-01	3.595215e-04	4.121600e-03
8.924983e-01	3.595302e-04	4.147200e-03
8.950819e-01	3.595195e-04	4.172800e-03
8.966563e-01	3.595281e-04	4.198400e-03
8.989844e-01	3.595175e-04	4.224000e-03
9.004315e-01	3.595259e-04	4.249600e-03
9.027480e-01	3.595155e-04	4.275200e-03
9.042294e-01	3.595238e-04	4.300800e-03
9.064851e-01	3.595136e-04	4.326400e-03
9.079251e-01	3.595217e-04	4.352000e-03
9.102827e-01	3.595117e-04	4.377600e-03
9.115800e-01	3.595196e-04	4.403200e-03
9.138268e-01	3.595098e-04	4.428800e-03
9.150695e-01	3.595176e-04	4.454400e-03
9.171482e-01	3.595080e-04	4.480000e-03
9.185376e-01	3.595155e-04	4.505600e-03
9.206030e-01	3.595061e-04	4.531200e-03
9.217917e-01	3.595134e-04	4.556800e-03
9.238089e-01	3.595043e-04	4.582400e-03
9.250695e-01	3.595114e-04	4.608000e-03
9.269931e-01	3.595025e-04	4.633600e-03
9.280984e-01	3.595094e-04	4.659200e-03
9.301042e-01	3.595007e-04	4.684800e-03
9.310482e-01	3.595073e-04	4.710400e-03
9.329899e-01	3.594989e-04	4.736000e-03
9.339674e-01	3.595053e-04	4.761600e-03
9.357264e-01	3.594971e-04	4.787200e-03
9.368661e-01	3.595033e-04	4.812800e-03
9.383913e-01	3.594953e-04	4.838400e-03
9.394029e-01	3.595013e-04	4.864000e-03
9.410281e-01	3.594935e-04	4.889600e-03
9.418883e-01	3.594992e-04	4.915200e-03
9.434952e-01	3.594917e-04	4.940800e-03
9.443682e-01	3.594971e-04	4.966400e-03
9.458440e-01	3.594899e-04	4.992000e-03
9.466140e-01	3.594951e-04	5.017600e-03
9.480894e-01	3.594881e-04	5.043200e-03
9.487442e-01	3.594930e-04	5.068800e-03
9.502522e-01	3.594863e-04	5.094400e-03
9.509510e-01	3.594910e-04	5.120000e-03
9.520396e-01	3.594844e-04	5.145600e-03
9.528439e-01	3.594889e-04	5.171200e-03
9.540759e-01	3.594826e-04	5.196800e-03
9.546038e-01	3.594868e-04	5.222400e-03
9.558040e-01	3.594807e-04	5.248000e-03
9.563071e-01	3.594846e-04	5.273600e-03
9.573637e-01	3.594788e-04	5.299200e-03
9.578535e-01	3.594824e-04	5.324800e-03
9.587941e-01	3.594770e-04	5.350400e-03
9.593106e-01	3.594802e-04	5.376000e-03
9.602107e-01	3.594751e-04	5.401600e-03
9.604419e-01	3.594779e-04	5.427200e-03
9.613379e-01	3.594731e-04	5.452800e-03
9.617246e-01	3.594756e-04	5.478400e-03
9.625049e-01	3.594712e-04	5.504000e-03
9.626593e-01	3.594733e-04	5.529600e-03
9.633862e-01	3.594693e-04	5.555200e-03
9.635909e-01	3.594708e-04	5.580800e-03
9.642721e-01	3.594674e-04	5.606400e-03
9.643291e-01	3.594682e-04	5.632000e-03
9.648092e-01	3.594655e-04	5.657600e-03
9.650062e-01	3.594655e-04	5.683200e-03
9.654738e-01	3.594638e-04	5.708800e-03
9.655115e-01	3.594625e-04	5.734400e-03
9.659060e-01	3.594622e-04	5.760000e-03
9.658186e-01	3.594592e-04	5.785600e-03
9.662289e-01	3.594610e-04	5.811200e-03
9.660436e-01	3.594554e-04	5.836800e-03
9.663607e-01	3.594605e-04	5.862400e-03
9.661073e-01	3.594504e-04	5.888000e-03
9.662942e-01	3.594614e-04	5.913600e-03
9.660872e-01	3.594440e-04	5.939200e-03
9.661666e-01	3.594613e-04	5.964800e-03
9.659553e-01	3.594510e-04	5.990400e-03
9.660494e-01	3.587073e-04	6.016000e-03
9.660070e-01	3.548846e-04	6.041600e-03
9.658514e-01	3.500962e-04	6.067200e-03
9.654336e-01	3.448535e-04	6.092800e-03
9.653444e-01	3.400703e-04	6.118400e-03
9.647599e-01	3.355455e-04	6.144000e-03
9.646900e-01	3.306985e-04	6.169600e-03
9.641399e-01	3.266787e-04	6.195200e-03
9.638736e-01	3.215914e-04	6.220800e-03
9.632462e-01	3.176214e-04	6.246400e-03
9.630436e-01	3.122928e-04	6.272000e-03
9.623265e-01	3.075547e-04	6.297600e-03
9.619248e-01	3.025522e-04	6.323200e-03
9.612353e-01	2.976633e-04	6.348800e-03
9.607649e-01	2.939165e-04	6.374400e-03
9.600570e-01	2.884236e-04	6.400000e-03
9.594887e-01	2.831063e-04	6.425600e-03
9.586510e-01	2.791221e-04	6.451200e-03
9.580799e-01	2.741009e-04	6.476800e-03
9.571000e-01	2.695111e-04	6.502400e-03
9.564961e-01	2.653837e-04	6.528000e-03
9.555050e-01	2.599558e-04	6.553600e-03
9.547120e-01	2.545013e-04	6.579200e-03
9.536816e-01	2.492547e-04	6.604800e-03
9.528888e-01	2.452498e-04	6.630400e-03
9.518375e-01	2.407519e-04	6.656000e-03
9.510157e-01	2.364608e-04	6.681600e-03
9.498625e-01	2.324958e-04	6.707200e-03
9.489377e-01	2.267037e-04	6.732800e-03
9.476249e-01	2.211687e-04	6.758400e-03
9.466696e-01	2.168347e-04	6.784000e-03
9.454428e-01	2.120676e-04	6.809600e-03
9.443386e-01	2.079737e-04	6.835200e-03
9.430438e-01	2.043213e-04	6.860800e-03
9.418849e-01	2.002041e-04	6.886400e-03
9.405748e-01	1.948316e-04	6.912000e-03
9.393957e-01	1.908220e-04	6.937600e-03
9.380900e-01	1.873430e-04	6.963200e-03
9.367899e-01	1.822529e-04	6.988800e-03
